Id,Label,Degree,Betweenness,Expression
3055,HCK,45,6690,0
2335,FN1,30,4108,0
107,ADCY1,27,4185,0
5613,PRKX,22,1630,0
3488,IGFBP5,8,889,0
9770,RASSF2,5,514,0
3265,HRAS,3,4115,0
5829,PXN,2,3534,0
7057,THBS1,2,984,0
1445,CSK,2,258,0
2775,GNAO1,2,169.56,0
113,ADCY7,2,169.56,0
5576,PRKAR2A,2,169.56,0
5577,PRKAR2B,2,169.56,0
196883,ADCY4,2,169.56,0
108,ADCY2,2,169.56,0
5573,PRKAR1A,2,169.56,0
5575,PRKAR1B,2,169.56,0
2773,GNAI3,2,169.56,0
26469,PTPN18,2,130,0
7448,VTN,1,0,0
5054,SERPINE1,1,0,0
109,ADCY3,1,0,0
2735,GLI1,1,0,0
59345,GNB4,1,0,0
50940,PDE11A,1,0,0
226,ALDOA,1,0,0
7094,TLN1,1,0,0
5340,PLG,1,0,0
3695,ITGB7,1,0,0
213,ALB,1,0,0
3694,ITGB6,1,0,0
3688,ITGB1,1,0,0
7534,YWHAZ,1,0,0
382,ARF6,1,0,0
81,ACTN4,1,0,0
3273,HRG,1,0,0
3678,ITGA5,1,0,0
5908,RAP1B,1,0,0
1277,COL1A1,1,0,0
6383,SDC2,1,0,0
3685,ITGAV,1,0,0
7428,VHL,1,0,0
2162,F13A1,1,0,0
6678,SPARC,1,0,0
3675,ITGA3,1,0,0
5345,SERPINF2,1,0,0
5600,MAPK11,1,0,0
1956,EGFR,1,0,0
2889,RAPGEF1,1,0,0
5291,PIK3CB,1,0,0
5159,PDGFRB,1,0,0
3689,ITGB2,1,0,0
1759,DNM1,1,0,0
8751,ADAM15,1,0,0
9844,ELMO1,1,0,0
5290,PIK3CA,1,0,0
1942,EFNA1,1,0,0
6714,SRC,1,0,0
7535,ZAP70,1,0,0
2549,GAB1,1,0,0
5335,PLCG1,1,0,0
5921,RASA1,1,0,0
25,ABL1,1,0,0
8543,LMO4,1,0,0
9846,GAB2,1,0,0
2885,GRB2,1,0,0
867,CBL,1,0,0
1947,EFNB1,1,0,0
2185,PTK2B,1,0,0
5580,PRKCD,1,0,0
2212,FCGR2A,1,0,0
183,AGT,1,0,0
5336,PLCG2,1,0,0
613,BCR,1,0,0
1946,EFNA5,1,0,0
1432,MAPK14,1,0,0
5294,PIK3CG,1,0,0
10657,KHDRBS1,1,0,0
5781,PTPN11,1,0,0
6774,STAT3,1,0,0
6850,SYK,1,0,0
3572,IL6ST,1,0,0
3845,KRAS,1,0,0
6789,STK4,1,0,0
3480,IGF1R,1,0,0
114,ADCY8,1,0,0
4091,SMAD6,1,0,0
115,ADCY9,1,0,0
3479,IGF1,1,0,0
2783,GNB2,1,0,0
5581,PRKCE,1,0,0
5566,PRKACA,1,0,0
27115,PDE7B,1,0,0
112,ADCY6,1,0,0
2274,FHL2,1,0,0
5142,PDE4B,1,0,0
5138,PDE2A,1,0,0
140894,CNBD2,1,0,0
2770,GNAI1,1,0,0
5144,PDE4D,1,0,0
5143,PDE4C,1,0,0
5265,SERPINA1,1,0,0
5879,RAC1,1,0,0
2736,GLI2,1,0,0
7052,TGM2,1,0,0
60676,PAPPA2,1,0,0
5567,PRKACB,1,0,0
10487,CAP1,1,0,0
5568,PRKACG,1,0,0
5293,PIK3CD,1,0,0
8516,ITGA8,1,0,0
2737,GLI3,1,0,0
3676,ITGA4,1,0,0
346562,GNAT3,1,0,0
157855,KCNU1,1,0,0
6654,SOS1,1,0,0
5150,PDE7A,1,0,0
3778,KCNMA1,1,0,0
4052,LTBP1,1,0,0
6788,STK3,1,0,0
9564,BCAR1,1,0,0
3481,IGF2,1,0,0
5783,PTPN13,1,0,0
960,CD44,1,0,0
6464,SHC1,1,0,0
408,ARRB1,1,0,0
4485,MST1,1,0,0
3483,IGFALS,1,0,0
111,ADCY5,1,0,0
10846,PDE10A,1,0,0
9051,PSTPIP1,1,0,0
